CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/12 21:28:00+00,39.3117,-76.6832,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/09/12 21:00:00+00,39.3021,-76.5994,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/09/12 11:00:00+00,39.3054,-76.5812,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/12 11:50:00+00,39.2981,-76.6278,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/09/12 01:00:00+00,39.2929,-76.6212,MM/DD/YYYY
BALTIMORE,MD,1A,HOMICIDE,,2020/09/12 18:36:00+00,39.3226,-76.5768,MM/DD/YYYY
BALTIMORE,MD,1A,HOMICIDE,,2020/09/12 18:36:00+00,39.3226,-76.5768,MM/DD/YYYY
BALTIMORE,MD,9S,SHOOTING,,2020/09/12 00:04:00+00,39.3453,-76.6473,MM/DD/YYYY
BALTIMORE,MD,1A,HOMICIDE,,2020/09/12 18:43:00+00,39.351,-76.6016,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/09/12 01:30:00+00,39.2485,-76.6292,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/09/12 03:28:00+00,39.3519,-76.6969,MM/DD/YYYY
BALTIMORE,MD,6G,LARCENY,,2020/09/12 10:55:00+00,39.2905,-76.6026,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/09/12 21:00:00+00,39.2942,-76.6745,MM/DD/YYYY
BALTIMORE,MD,3B,ROBBERY,,2020/09/12 08:31:00+00,39.3036,-76.666,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/09/27 22:30:00+00,39.3166,-76.573,MM/DD/YYYY
BALTIMORE,MD,6C,LARCENY,,2020/09/27 14:00:00+00,39.2537,-76.654,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/09/27 04:00:00+00,39.2688,-76.6497,MM/DD/YYYY
BALTIMORE,MD,4D,AGG. ASSAULT,,2020/09/27 21:08:00+00,39.2957,-76.6055,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/09/27 18:16:00+00,39.3125,-76.6988,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/09/26 23:00:00+00,39.2914,-76.5646,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/09/26 22:00:00+00,39.2903,-76.6238,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/26 01:04:00+00,39.2805,-76.7072,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/09/26 19:00:00+00,39.3253,-76.6291,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/09/26 14:00:00+00,39.2892,-76.6519,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/26 17:00:00+00,39.3059,-76.5814,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/09/26 14:00:00+00,39.3629,-76.5909,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/09/26 02:30:00+00,39.3509,-76.5978,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/09/26 21:00:00+00,39.308,-76.6697,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/26 11:20:00+00,39.28,-76.6328,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/09/26 13:05:00+00,39.3112,-76.6506,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/09/26 10:00:00+00,39.3049,-76.5775,MM/DD/YYYY
BALTIMORE,MD,3AJF,ROBBERY - CARJACKING,,2020/09/26 08:35:00+00,39.3438,-76.6519,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/09/26 08:00:00+00,39.3077,-76.5983,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/09/26 23:25:00+00,39.3551,-76.5784,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 08:45:00+00,39.3094,-76.5728,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/10/09 15:00:00+00,39.3444,-76.5534,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/10/09 05:30:00+00,39.2844,-76.5886,MM/DD/YYYY
BALTIMORE,MD,4D,AGG. ASSAULT,,2020/10/09 10:21:00+00,39.2897,-76.5674,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/10/09 19:22:00+00,39.3021,-76.6181,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/10/09 15:00:00+00,39.2875,-76.6476,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 23:20:00+00,39.3197,-76.5737,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 18:30:00+00,39.2957,-76.5822,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/10/09 23:00:00+00,39.2302,-76.6039,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/10/09 16:52:00+00,39.2883,-76.6453,MM/DD/YYYY
BALTIMORE,MD,6C,LARCENY,,2020/10/09 08:33:00+00,39.2924,-76.6154,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/10/09 18:00:00+00,39.3442,-76.6825,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/10/09 14:12:00+00,39.2885,-76.6123,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/10/09 20:37:00+00,39.2502,-76.6312,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/10/09 12:53:00+00,39.3638,-76.7017,MM/DD/YYYY
BALTIMORE,MD,3CO,ROBBERY - COMMERCIAL,,2020/10/09 10:32:00+00,39.3317,-76.5993,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 12:00:00+00,39.2909,-76.6384,MM/DD/YYYY
BALTIMORE,MD,5E,BURGLARY,,2020/10/09 19:00:00+00,39.3147,-76.6479,MM/DD/YYYY
BALTIMORE,MD,6G,LARCENY,,2020/10/09 03:49:00+00,39.2741,-76.6276,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/10/09 02:00:00+00,39.3043,-76.5965,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/08/29 23:30:00+00,39.3422,-76.561,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 09:10:00+00,39.2883,-76.6046,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 00:20:00+00,39.31,-76.5977,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/08/29 18:00:00+00,39.291,-76.571,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 00:02:00+00,39.3159,-76.5781,MM/DD/YYYY
BALTIMORE,MD,2A,RAPE,,2020/08/29 21:20:00+00,39.3438,-76.6519,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 09:50:00+00,39.3024,-76.5956,MM/DD/YYYY
BALTIMORE,MD,3JO,ROBBERY,,2020/08/29 05:42:00+00,39.2988,-76.5752,MM/DD/YYYY
BALTIMORE,MD,3B,ROBBERY,,2020/08/29 14:18:00+00,39.29,-76.6151,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/08/29 18:30:00+00,39.2282,-76.602,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 15:39:00+00,39.347,-76.6089,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/08/29 04:00:00+00,0.0,0.0,MM/DD/YYYY
BALTIMORE,MD,3AF,ROBBERY,,2020/08/29 22:52:00+00,39.349,-76.662,MM/DD/YYYY
BALTIMORE,MD,4D,AGG. ASSAULT,,2020/08/29 21:38:00+00,39.3398,-76.664,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/08/29 00:15:00+00,39.282,-76.6435,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 11:50:00+00,39.3643,-76.5939,MM/DD/YYYY
BALTIMORE,MD,5E,BURGLARY,,2020/08/29 12:30:00+00,39.3618,-76.6675,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/08/29 16:00:00+00,39.3065,-76.6518,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/08/29 09:30:00+00,39.2845,-76.6513,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/08/29 21:36:00+00,39.2801,-76.6543,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/29 18:45:00+00,39.3012,-76.5787,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 06:00:00+00,39.3009,-76.6187,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 01:17:00+00,39.2841,-76.613,MM/DD/YYYY
BALTIMORE,MD,5A,BURGLARY,,2020/07/30 18:00:00+00,39.2906,-76.6434,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/07/30 00:01:00+00,39.3667,-76.6767,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/07/30 07:15:00+00,39.2843,-76.6002,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/07/30 00:00:00+00,39.3183,-76.5585,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 01:40:00+00,39.3206,-76.5547,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 16:00:00+00,39.3074,-76.5748,MM/DD/YYYY
BALTIMORE,MD,6C,LARCENY,,2020/07/30 14:05:00+00,39.3093,-76.6463,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 16:15:00+00,39.3453,-76.6815,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/07/30 14:00:00+00,39.2884,-76.5986,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/07/30 14:25:00+00,39.3182,-76.6095,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/07/30 17:51:00+00,39.2303,-76.5905,MM/DD/YYYY
BALTIMORE,MD,6G,LARCENY,,2020/07/30 11:02:00+00,39.2878,-76.6129,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 16:24:00+00,39.3039,-76.6033,MM/DD/YYYY
BALTIMORE,MD,4A,AGG. ASSAULT,,2020/07/30 22:27:00+00,39.2828,-76.6519,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/07/30 20:45:00+00,39.299,-76.5831,MM/DD/YYYY
BALTIMORE,MD,5D,BURGLARY,,2020/07/30 05:05:00+00,39.3013,-76.5494,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/07/30 06:15:00+00,39.2952,-76.5916,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/07/30 19:00:00+00,39.3224,-76.5663,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/08/14 22:30:00+00,39.3537,-76.5794,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/08/14 02:10:00+00,39.2953,-76.5913,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/08/14 15:00:00+00,39.3084,-76.6401,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/08/14 01:00:00+00,39.3507,-76.543,MM/DD/YYYY
BALTIMORE,MD,5B,BURGLARY,,2020/08/14 01:13:00+00,39.2777,-76.5526,MM/DD/YYYY
